year,region,tourism_type,tourists_thousands,overnight_stays_thousands,spending_million_sar,avg_stay_nights,avg_spend_per_trip_sar,avg_spend_per_night_sar,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
2021,Riyadh,Inbound,2446.0,29718.0,14944.0,12.15,6109.6,502.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Tabuk,Domestic,4576.0,25346.0,8573.0,5.54,1873.5,338.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Tabuk,Inbound,372.8,841.0,444.0,2.26,1191.0,527.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Al Bahah,Domestic,2042.0,13245.0,2000.0,6.49,979.4,151.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Al Bahah,Inbound,4.0,41.0,9.0,10.25,2250.0,219.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Al Jawf,Domestic,2505.0,11882.0,5241.0,4.74,2092.2,441.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Al Jawf,Inbound,104.0,1773.0,342.0,17.05,3288.5,192.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Asir,Domestic,11942.0,78158.0,14136.0,6.54,1183.7,180.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Asir,Inbound,148.0,3332.0,721.0,22.51,4871.6,216.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Eastern Province,Domestic,22279.0,94883.0,25366.0,4.26,1138.6,267.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Eastern Province,Inbound,7996.0,45357.0,18320.0,5.67,2291.1,403.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Hail,Domestic,4298.0,27573.0,8016.0,6.42,1865.1,290.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Hail,Inbound,136.0,5741.0,378.0,42.21,2779.4,65.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Jazan,Domestic,4976.0,26042.0,4678.0,5.23,940.1,179.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Jazan,Inbound,71.0,4180.0,350.0,58.87,4929.6,83.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Madinah,Domestic,12442.0,48962.0,15145.0,3.94,1217.2,309.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Madinah,Inbound,242.0,4968.0,1324.0,20.53,5471.1,266.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Makkah,Domestic,45327.0,199113.0,61295.0,4.39,1352.3,307.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Makkah,Inbound,38394.0,377622.0,148891.0,9.84,3878.0,394.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Najran,Domestic,2219.0,17620.0,3887.0,7.94,1751.7,220.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Najran,Inbound,14.1,11551.0,2157.0,819.22,152978.7,186.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Northern Borders,Domestic,2030.0,10553.0,5148.0,5.2,2536.0,487.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Northern Borders,Inbound,1196.0,2233.0,870.0,1.87,727.4,389.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Qassim,Domestic,8108.0,38996.0,8958.0,4.81,1104.8,229.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Qassim,Inbound,403.0,3799.0,1273.0,9.43,3158.8,335.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Riyadh,Domestic,32288.0,144060.0,49894.0,4.46,1545.3,346.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Riyadh,Inbound,3822.0,83913.0,23070.0,21.96,6036.1,274.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Tabuk,Domestic,5220.0,28127.0,10756.0,5.39,2060.5,382.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2022,Tabuk,Inbound,768.0,2518.0,1544.0,3.28,2010.4,613.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Al Bahah,Domestic,2143.0,15266.0,2475.0,7.12,1154.9,162.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Al Bahah,Inbound,16.0,110.0,43.0,6.88,2687.5,390.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Al Jawf,Domestic,2277.0,17249.0,3366.0,7.58,1478.3,195.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Al Jawf,Inbound,394.0,4686.0,876.0,11.89,2223.4,186.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Asir,Domestic,13812.0,122810.0,19070.0,8.89,1380.7,155.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Asir,Inbound,374.0,6125.0,1647.0,16.38,4403.7,268.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Eastern Province,Domestic,26914.0,165888.0,33584.0,6.16,1247.8,202.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Eastern Province,Inbound,11334.0,53538.0,22074.0,4.72,1947.6,412.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Hail,Domestic,3672.0,25617.0,5560.0,6.98,1514.2,217.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Hail,Inbound,358.0,17610.0,2273.0,49.19,6349.2,129.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Jazan,Domestic,5846.0,39359.0,7432.0,6.73,1271.3,188.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Jazan,Inbound,30.0,240.0,92.0,8.0,3066.7,383.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Madinah,Domestic,12006.0,54876.0,12531.0,4.57,1043.7,228.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2023,Madinah,Inbound,643.0,9334.0,2674.0,14.52,4158.6,286.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
