indicator,period,dimension,dimension_value,value,unit,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
tourists_by_purpose,2018,trip_purpose|nationality,Business | Saudi,171.12621985228935,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,1351.787340438696,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Other | Saudi,350.618858352187,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Leisure | Non Saudi,370.0427552551439,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Business | Non Saudi,2894.3437232053107,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,112.573532544856,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Other | Non Saudi,6508.271030301487,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Religious | Total,19655.844313475365,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Leisure | Total,18147.51413322951,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Business | Total,14898.097923533627,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Visiting Friends & Relatives | Total,16388.87561081881,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Other | Total,9250.024986281063,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Leisure | Saudi,8136.838307906587,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Business | Saudi,152.2487332602567,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,1217.8584051467435,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Other | Saudi,290.66895022457805,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Leisure | Non Saudi,303.68939463942075,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Business | Non Saudi,2597.536277402596,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,68.0895732549,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Other | Non Saudi,6243.458367292638,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Religious | Total,20906.086471024977,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Leisure | Total,21497.904715084216,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Business | Total,15360.25151848984,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Visiting Friends & Relatives | Total,17561.963898412643,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2019,trip_purpose|nationality,Other | Total,9015.0051574078,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Leisure | Saudi,1457.02952458424,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Business | Saudi,13.159666405662,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,265.35824673235703,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Other | Saudi,46.13283718309299,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Leisure | Non Saudi,59.819494410091,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Business | Non Saudi,606.646876727508,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,7.482792045452999,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Other | Non Saudi,2383.093161767896,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Religious | Total,7182.5400496389375,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Leisure | Total,21043.13243139064,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Business | Total,4352.487548008987,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Visiting Friends & Relatives | Total,14622.107610692485,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2020,trip_purpose|nationality,Other | Total,3883.4243448407833,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Leisure | Saudi,2239.649,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Business | Saudi,83.98,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,901.448,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Other | Saudi,92.186,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Leisure | Non Saudi,720.799,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Business | Non Saudi,208.925,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,4095.431000000001,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Other | Non Saudi,72.708,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Religious | Total,5733.080999999999,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Leisure | Total,25639.377000000004,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Business | Total,6736.206,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Visiting Friends & Relatives | Total,34037.433,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2021,trip_purpose|nationality,Other | Total,3580.146,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Leisure | Saudi,5053.384,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Business | Saudi,252.889,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,3822.745,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Other | Saudi,334.65500000000003,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Leisure | Non Saudi,928.821,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Business | Non Saudi,366.449,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,5960.808999999999,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Other | Non Saudi,162.667,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Religious | Total,14009.129000000004,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Leisure | Total,38311.311,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Business | Total,6790.976000000001,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Visiting Friends & Relatives | Total,46731.135999999984,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2022,trip_purpose|nationality,Other | Total,5514.226999999997,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Leisure | Saudi,2797.666,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Business | Saudi,127.447,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,2233.372,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Other | Saudi,328.784,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Leisure | Non Saudi,537.91,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Business | Non Saudi,629.3969999999999,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,2940.0730000000003,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Other | Non Saudi,312.02599999999995,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Religious | Total,21393.298999999995,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Leisure | Total,44592.044,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
