id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,latitude,longitude
937,Riwayat Restaurant,RESTAURANT,Indian,4.8,9,restaurants,24.686757,46.637703
938,Madhaq Almaghrib Restaurants,RESTAURANT,Arabic,3.6,13,restaurants,24.6872924,46.6373862
939,Dunkin' Donuts,RESTAURANT,Desserts|Beverages|Coffee,4.5,249,restaurants,24.687234,46.635763
940,Maestro Pizza,RESTAURANT,Fast Food|Italian|International|Pizza,4.3,121,restaurants,24.702217,46.651319
941,Starbucks®,RESTAURANT,Desserts|Bakery|Beverages|Coffee|Breakfast|Roastery,4.3,432,restaurants,24.70234415,46.65065442
942,La Casa Pasta,RESTAURANT,Italian|Pasta,4.2,398,restaurants,24.702305,46.651299
943,AL BAIK,RESTAURANT,Sandwich|Fast Food|Arabic,4.1,3225,restaurants,24.70245457,46.65048433
944,Mafroomah‎‎,RESTAURANT,Sandwich|Fast Food|American|Burgers,4.3,35,restaurants,24.6820783,46.6230346
945,Fish Face,RESTAURANT,Seafood|Beverages|Healthy,4.4,74,restaurants,24.6820783,46.6230346
946,RAWK,RESTAURANT,Sandwich|Healthy|Juices|Salads,4.2,47,restaurants,24.6820783,46.6230346
947,Nine,RESTAURANT,Desserts,1.5,2,restaurants,24.6791093,46.6234208
948,Dolce Ragusa,RESTAURANT,Desserts|Coffee,4.6,165,restaurants,24.6779921,46.6227244
949,Fresh Food Restaurant,RESTAURANT,Fast Food,4,4,restaurants,24.7062286,46.6263072
950,Harry's Pizza,RESTAURANT,Italian|Pizza|Pasta,4.4,67,restaurants,24.714657,46.634216
951,Diplomat,RESTAURANT,Desserts|Bakery|Pastries,4.4,153,restaurants,24.721315,46.649809
952,Mille Feuille,RESTAURANT,Sandwich|Pastries,4.3,34,restaurants,24.7217551,46.6482598
953,Oluva,RESTAURANT,Arabic,4.6,450,restaurants,24.7218442,46.6490302
954,Si Krt Sauce,RESTAURANT,American,4.1,15,restaurants,24.7220279,46.6489942
955,Fat Sal's,RESTAURANT,Fast Food,3.9,249,restaurants,24.7220279,46.6489942
956,Two Fifty,RESTAURANT,Desserts|Arabic,0,0,restaurants,24.72206475,46.64945811
957,luxury boxes,RESTAURANT,Desserts|Arabic,0,0,restaurants,24.7223444,46.6500615
958,EllelaZena,RESTAURANT,Desserts,0,0,restaurants,24.7226877,46.6504572
959,One O’ One Burger,RESTAURANT,Fast Food|Burgers,0,0,restaurants,24.723229,46.652235
960,Lavande,RESTAURANT,Desserts,0,0,restaurants,24.7233696,46.6553801
961,Masterpiece Cafe,RESTAURANT,Desserts|Beverages|Coffee,5,1,restaurants,24.714752,46.677435
962,PAO,RESTAURANT,International,4.5,157,restaurants,24.72563924,46.65358442
963,Social Cafe &amp; Roastery,RESTAURANT,Desserts|Coffee,4.3,18,restaurants,24.72579327,46.64357637
964,Lolo Ice Cream,RESTAURANT,Ice Cream,4.8,20,restaurants,24.725134,46.65864
965,Shayah,RESTAURANT,Sandwich|Grill|Shawarma,4.5,260,restaurants,24.72522,46.658974
966,Elite Time,RESTAURANT,Fast Food|Grill|Arabic|Beverages,0,0,restaurants,24.7267021,46.6528204
967,Chunk,RESTAURANT,Desserts|Bakery|Coffee,4.6,185,restaurants,24.7295741,46.6504254
968,Salad Freak,RESTAURANT,Healthy|Salads,3.7,27,restaurants,24.72957897,46.65050855
969,Catch22,RESTAURANT,International|Burgers|Sushi,4.2,231,restaurants,24.731096,46.6485886
970,Sushido,RESTAURANT,Seafood|Sushi|Japanese,4.4,615,restaurants,24.731096,46.6485886
971,Sushi Art,RESTAURANT,Asian|Sushi,4.8,63,restaurants,24.73143394,46.6484044
972,Pokai,RESTAURANT,Healthy,4.5,24,restaurants,24.7314449,46.6484233
973,BUNDT BAKERY,RESTAURANT,Desserts|Bakery|Coffee,4.7,110,restaurants,24.731578,46.6476709
974,AL Mutaka,RESTAURANT,Sandwich|Desserts|Arabic|Beverages,4.4,47,restaurants,24.73176342,46.6476524
975,Peet's Coffee,RESTAURANT,Desserts|Coffee,4.8,6,restaurants,24.7318006,46.6492891
976,La Romana dal 1947,RESTAURANT,Desserts|Coffee|Gluten-Free,3.6,8,restaurants,24.731863,46.647895
977,Pattis,RESTAURANT,Fast Food|Desserts|Bakery,4.4,11,restaurants,24.731875,46.6482439
978,Karak Gholam,RESTAURANT,Sandwich|Desserts|Arabic|Coffee,4.6,112,restaurants,24.7319529,46.6480623
979,Cafe Bateel,RESTAURANT,Sandwich|Desserts|Italian|Coffee|Pasta,4.7,411,restaurants,24.7320575,46.648303
980,KRNSH,RESTAURANT,American|Burgers,3.8,380,restaurants,24.7326847,46.6483589
981,Biga,RESTAURANT,Fast Food|American|Burgers,4,155,restaurants,24.7326847,46.6483589
982,Neska Food Happiness,RESTAURANT,Sandwich|Shawarma|International,3.9,14,restaurants,24.7326875,46.6483125
983,BO KEES,RESTAURANT,Arabic,4.2,2076,restaurants,24.7326978,46.6484652
984,Santa Nata | سانتا ناتا (برد على قلبك),RESTAURANT,Desserts|Bakery|Coffee,4.6,578,restaurants,24.7330368,46.6488614
985,Half Million,RESTAURANT,Sandwich|Desserts|Coffee|Breakfast|Roastery,4.4,420,restaurants,24.733146,46.648905
986,Veloce,RESTAURANT,Desserts|Beverages,4.1,186,restaurants,24.7333056,46.6488362
987,A12 Cafe,RESTAURANT,Desserts|Beverages|Coffee,3.8,18,restaurants,24.7337046,46.648496
988,Jan Burger,RESTAURANT,Fast Food|American|Burgers,4.2,158,restaurants,24.746549,46.619825
989,Whites,OTHER,Pharmacy,4.7,39,pharmacies,24.7144375,46.6610625
990,PROTEINK LOUNGE,RESTAURANT,Desserts|Arabic|Healthy|Salads,4.4,2914,restaurants,24.7101958,46.6633086
991,Aani &amp; Dani,RESTAURANT,Desserts,4.4,140,restaurants,24.717951,46.65852
992,Cinnabon,RESTAURANT,Desserts|Beverages,4.2,166,restaurants,24.708959,46.662964
993,Dunkin' Donuts,RESTAURANT,Desserts|Beverages|Coffee,4.3,177,restaurants,24.708173,46.661593
994,Baskin Robbins,RESTAURANT,Desserts|Beverages|Ice Cream,4.4,104,restaurants,24.709807,46.665736
995,Kabbasa,RESTAURANT,Arabic,4.1,12,restaurants,24.7101263,46.666402
996,Hmbrgr,RESTAURANT,American,4.2,172,restaurants,24.7101263,46.666402
997,Winner Winner Chicken Dinner,RESTAURANT,American,4.7,14,restaurants,24.7101263,46.666402
998,Camel Step,RESTAURANT,Coffee,4.6,140,restaurants,24.7108141,46.6676058
999,Doughnut Plant,RESTAURANT,Desserts,4.7,71,restaurants,24.7108141,46.6676058
1000,7Ribs,RESTAURANT,American|Mexican|Meat,4.4,88,restaurants,24.71049363,46.66766441
1001,Mamol Wanyah,RESTAURANT,Desserts|Arabic|Saudi,0,0,restaurants,24.7178425,46.65001774
