Accommodation Type ID,Accommodation Type,Province ID,Province,Year,Month ID,Month,Occupancy Rate
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202205,2022-05,0.5433889410402875
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202206,2022-06,0.44378391272026624
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202207,2022-07,0.48316766498744995
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202208,2022-08,0.5677848385540565
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202209,2022-09,0.5807329607040441
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202210,2022-10,0.7480246052192167
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202211,2022-11,0.7849949184908979
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202212,2022-12,0.8152470955483919
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202301,2023-01,0.8097846242845749
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202302,2023-02,0.8413872398184082
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202303,2023-03,0.7622118496033905
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202304,2023-04,0.744538614498429
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202305,2023-05,0.6136891940884178
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202306,2023-06,0.6669684139099901
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202307,2023-07,0.7871605544044055
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202308,2023-08,0.6230252654736581
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202309,2023-09,0.6077135242870291
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202310,2023-10,0.6721561689233349
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202311,2023-11,0.7477097948535667
1,Hotels,3,Al-Madinah Al-Monawarah,2023,202312,2023-12,0.7848139310163363
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202401,2024-01,0.8276954130630286
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202402,2024-02,0.8583054736543043
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202403,2024-03,0.7033514709195552
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202404,2024-04,0.6896041763214568
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202405,2024-05,0.6963060511172094
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202406,2024-06,0.6408542711005267
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202407,2024-07,0.6469941576202763
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202408,2024-08,0.5893344026993189
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202409,2024-09,0.5872695298436751
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202410,2024-10,0.6753915761383203
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202411,2024-11,0.7718386900206673
1,Hotels,3,Al-Madinah Al-Monawarah,2024,202412,2024-12,0.7926099024722766
1,Hotels,4,Al-Qaseem,2021,202101,2021-01,0.4474156579371289
1,Hotels,4,Al-Qaseem,2021,202102,2021-02,0.2962638043141707
1,Hotels,4,Al-Qaseem,2021,202103,2021-03,0.3300412667501275
1,Hotels,4,Al-Qaseem,2021,202104,2021-04,0.23666820994149584
1,Hotels,4,Al-Qaseem,2021,202105,2021-05,0.334244649273551
