canonical_id,name,entity_types,city,region,latitude,longitude,n_members,n_sources,sources,member_ids
RYD_003175,Green box,place,Riyadh,Riyadh,24.73188833,46.6971366,1,1,riyadh_places_kaggle,places_04429
RYD_003176,Greenish Keto,place,Riyadh,Riyadh,24.66640812,46.683036285,2,1,riyadh_places_kaggle,places_00760|places_00761
RYD_003177,Greenish Keto,place,Riyadh,Riyadh,24.8086421,46.61705405,2,1,riyadh_places_kaggle,places_04070|places_04071
RYD_003178,Greens,place,Riyadh,Riyadh,24.75956579,46.66381166,1,1,riyadh_places_kaggle,places_01961
RYD_003179,Griddle,place,Riyadh,Riyadh,24.75185911,46.63940292,1,1,riyadh_places_kaggle,places_01232
RYD_003180,Grill &amp; Rice Restaurant,place,Riyadh,Riyadh,24.628601,46.739527,1,1,riyadh_places_kaggle,places_00090
RYD_003181,Grill Dora Rivers,place,Riyadh,Riyadh,24.761223,46.78021,1,1,riyadh_places_kaggle,places_04901
RYD_003182,Grill It,place,Riyadh,Riyadh,24.799224,46.697486,1,1,riyadh_places_kaggle,places_02525
RYD_003183,Grill It,place,Riyadh,Riyadh,24.723897,46.645408,1,1,riyadh_places_kaggle,places_05637
RYD_003184,Grill It,place,Riyadh,Riyadh,24.7212985,46.7887697,1,1,riyadh_places_kaggle,places_07571
RYD_003185,Grill taste,place,Riyadh,Riyadh,24.5579924,46.7761738,1,1,riyadh_places_kaggle,places_08160
RYD_003186,Grilled Aldiyea Restaurant,place,Riyadh,Riyadh,24.8042259,46.7516006,1,1,riyadh_places_kaggle,places_04060
RYD_003187,Grilled Burger,place,Riyadh,Riyadh,24.811468,46.635601,1,1,riyadh_places_kaggle,places_03624
RYD_003188,Grilled Burger,place,Riyadh,Riyadh,24.849749,46.82356,1,1,riyadh_places_kaggle,places_06333
RYD_003189,Grilled Burger,place,Riyadh,Riyadh,24.645293,46.549819,1,1,riyadh_places_kaggle,places_06357
RYD_003190,Grilled Burgers,place,Riyadh,Riyadh,24.7118987,46.825473,1,1,riyadh_places_kaggle,places_06630
RYD_003191,Grilled Mazaq Al Nawaeir,place,Riyadh,Riyadh,24.6384555,46.71129998,1,1,riyadh_places_kaggle,places_00379
RYD_003192,Grilled Shawarma,place,Riyadh,Riyadh,24.550429,46.6984364,1,1,riyadh_places_kaggle,places_08337
RYD_003193,Grilled Sikh,place,Riyadh,Riyadh,24.69097814,46.69091061,1,1,riyadh_places_kaggle,places_00759
RYD_003194,Grilled Sikh,place,Riyadh,Riyadh,24.8550835,46.6475783,1,1,riyadh_places_kaggle,places_03977
RYD_003195,Grilled Sikh,place,Riyadh,Riyadh,24.715857,46.791991,1,1,riyadh_places_kaggle,places_07608
RYD_003196,Grillh,place,Riyadh,Riyadh,24.8204006,46.73044,1,1,riyadh_places_kaggle,places_03569
RYD_003197,Grills Shalaby,place,Riyadh,Riyadh,24.7947168,46.6988783,1,1,riyadh_places_kaggle,places_01703
RYD_003198,Grillz,place,Riyadh,Riyadh,24.7722554,46.6753877,1,1,riyadh_places_kaggle,places_02754
RYD_003199,Guilt Free,place,Riyadh,Riyadh,24.7668254,46.7003035,1,1,riyadh_places_kaggle,places_03587
RYD_003200,Gulf Toledo Restaurant,place,Riyadh,Riyadh,24.673503,46.7078692,1,1,riyadh_places_kaggle,places_00154
RYD_003201,Gulf pizza and pasta,place,Riyadh,Riyadh,24.577525355,46.70062121,2,1,riyadh_places_kaggle,places_02407|places_02409
RYD_003202,Gully Biryani,place,Riyadh,Riyadh,24.691547,46.6929084,1,1,riyadh_places_kaggle,places_01221
RYD_003203,Gully Biryani,place,Riyadh,Riyadh,24.7612247,46.7157125,1,1,riyadh_places_kaggle,places_01658
RYD_003204,Gully Biryani,place,Riyadh,Riyadh,24.5890953,46.6703854,1,1,riyadh_places_kaggle,places_02161
RYD_003205,Gustozo,place,Riyadh,Riyadh,24.6953219,46.8072638,1,1,riyadh_places_kaggle,places_06138
RYD_003206,Guven,place,Riyadh,Riyadh,24.7664229,46.71541915,1,1,riyadh_places_kaggle,places_03765
RYD_003207,Guven,place,Riyadh,Riyadh,24.69579129,46.72874489,1,1,riyadh_places_kaggle,places_06892
RYD_003208,Gym Kitchen,place,Riyadh,Riyadh,24.785668,46.682941,1,1,riyadh_places_kaggle,places_03031
