canonical_id,source,source_entity_id,entity_type,name,city,region
RYD_004562,riyadh_places_kaggle,places_07286,place,Lemon Pharmacy,Riyadh,Riyadh
RYD_004563,riyadh_places_kaggle,places_08102,place,Lemon Pharmacy,Riyadh,Riyadh
RYD_004564,riyadh_places_kaggle,places_01237,place,Lemon and half,Riyadh,Riyadh
RYD_004565,riyadh_places_kaggle,places_07477,place,Lemon and half,Riyadh,Riyadh
RYD_004566,riyadh_places_kaggle,places_08598,place,Lemon juice,Riyadh,Riyadh
RYD_004566,riyadh_places_kaggle,places_08603,place,LiveUp Juice,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_05753,place,Lencos,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_06500,place,La Merna,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07320,place,Larina,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07322,place,Taraat,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07343,place,Kenaz,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07354,place,TREAT,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07364,place,Lesrois,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07365,place,LA SENS,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07377,place,Arena,Riyadh,Riyadh
RYD_004567,riyadh_places_kaggle,places_07380,place,Ulin,Riyadh,Riyadh
RYD_004568,riyadh_places_kaggle,places_01015,place,Les Jours De Joie,Riyadh,Riyadh
RYD_004569,riyadh_places_kaggle,places_00269,place,Lesrois,Riyadh,Riyadh
RYD_004570,riyadh_places_kaggle,places_03533,place,Lesrois,Riyadh,Riyadh
RYD_004571,riyadh_places_kaggle,places_08777,place,Lesrois,Riyadh,Riyadh
RYD_004572,riyadh_places_kaggle,places_01066,place,Let's Green,Riyadh,Riyadh
RYD_004573,riyadh_places_kaggle,places_07720,place,Let's Green,Riyadh,Riyadh
RYD_004574,riyadh_places_kaggle,places_08053,place,Let's Green,Riyadh,Riyadh
RYD_004575,riyadh_places_kaggle,places_01071,place,Let's Thick,Riyadh,Riyadh
RYD_004576,riyadh_places_kaggle,places_02936,place,Let's Thick,Riyadh,Riyadh
RYD_004577,riyadh_places_kaggle,places_07165,place,Let's Thick,Riyadh,Riyadh
RYD_004578,riyadh_places_kaggle,places_00762,place,Let`s Poke Salad,Riyadh,Riyadh
RYD_004579,riyadh_places_kaggle,places_00525,place,Lets Blac,Riyadh,Riyadh
RYD_004580,riyadh_places_kaggle,places_01074,place,Lets Blac,Riyadh,Riyadh
RYD_004581,riyadh_places_kaggle,places_01420,place,Lets Blac,Riyadh,Riyadh
RYD_004582,riyadh_places_kaggle,places_02938,place,Lets Blac,Riyadh,Riyadh
RYD_004583,riyadh_places_kaggle,places_05492,place,Lets Blac,Riyadh,Riyadh
RYD_004584,riyadh_places_kaggle,places_07166,place,Lets Blac,Riyadh,Riyadh
RYD_004585,riyadh_places_kaggle,places_08830,place,Lets Blac,Riyadh,Riyadh
RYD_004586,riyadh_places_kaggle,places_05021,place,Letters,Riyadh,Riyadh
RYD_004587,riyadh_places_kaggle,places_01921,place,Letters Bakery,Riyadh,Riyadh
RYD_004588,riyadh_places_kaggle,places_03252,place,Let’s Patty,Riyadh,Riyadh
RYD_004589,riyadh_places_kaggle,places_05662,place,Let’s Patty,Riyadh,Riyadh
RYD_004590,riyadh_places_kaggle,places_08498,place,Let’s Patty,Riyadh,Riyadh
RYD_004591,riyadh_places_kaggle,places_00905,place,Levantine moments,Riyadh,Riyadh
RYD_004592,riyadh_places_kaggle,places_05019,place,Leve elements,Riyadh,Riyadh
RYD_004593,riyadh_places_kaggle,places_03643,place,Levure,Riyadh,Riyadh
RYD_004594,riyadh_places_kaggle,places_05849,place,Lewaks restaurant,Riyadh,Riyadh
RYD_004595,booking_kaggle,hotels_01002,hotel,Lewan Alkhaleej Aparthotel,Riyadh,Riyadh
RYD_004596,riyadh_places_kaggle,places_01691,place,Lezzat,Riyadh,Riyadh
RYD_004597,riyadh_places_kaggle,places_00392,place,Liajlehum,Riyadh,Riyadh
RYD_004598,riyadh_places_kaggle,places_01174,place,Lian Grapes,Riyadh,Riyadh
RYD_004599,riyadh_places_kaggle,places_08823,place,Lian Grapes,Riyadh,Riyadh
RYD_004600,riyadh_places_kaggle,places_00601,place,Liberty,Riyadh,Riyadh
RYD_004601,riyadh_places_kaggle,places_00779,place,Liberty,Riyadh,Riyadh
RYD_004602,riyadh_places_kaggle,places_06055,place,Life food,Riyadh,Riyadh
RYD_004603,riyadh_places_kaggle,places_06039,place,Lilas,Riyadh,Riyadh
RYD_004604,riyadh_places_kaggle,places_05269,place,Lily Flowers,Riyadh,Riyadh
RYD_004604,riyadh_places_kaggle,places_05691,place,Lily Café,Riyadh,Riyadh
RYD_004605,riyadh_places_kaggle,places_06604,place,Lime juice,Riyadh,Riyadh
RYD_004606,riyadh_places_kaggle,places_07777,place,Lina Pancakes,Riyadh,Riyadh
RYD_004607,riyadh_places_kaggle,places_06573,place,Linu,Riyadh,Riyadh
RYD_004608,riyadh_places_kaggle,places_08279,place,Liqa Alahiba,Riyadh,Riyadh
RYD_004609,riyadh_places_kaggle,places_01709,place,Liqimat brulih,Riyadh,Riyadh
RYD_004610,riyadh_places_kaggle,places_03266,place,Lishlazz,Riyadh,Riyadh
RYD_004611,riyadh_places_kaggle,places_00128,place,Little Caesar's pizza,Riyadh,Riyadh
RYD_004612,riyadh_places_kaggle,places_00356,place,Little Caesar's pizza,Riyadh,Riyadh
RYD_004613,riyadh_places_kaggle,places_00918,place,Little Caesar's pizza,Riyadh,Riyadh
