entity_id,entity_type,name,category,city,region,latitude,longitude,rating_norm,price_sar,source,source_url,data_period,snapshot_date,retrieved_at,is_live
places_00047,place,Mission Falafel - Riyadh,restaurants,Riyadh,Riyadh,24.66766105,46.73320251,0.76,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00048,place,Hashem,restaurants,Riyadh,Riyadh,24.667725,46.733273,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00049,place,SHALIMAR MUMTAZ RESTAURANT &amp; BAKERS,restaurants,Riyadh,Riyadh,24.6678035,46.7117402,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00050,place,Ponnusamy,restaurants,Riyadh,Riyadh,24.6635425,46.7044087,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00051,place,Al Karama Sweets,restaurants,Riyadh,Riyadh,24.669576,46.731899,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00052,place,Al Mehbaj,nuts_and_dried_fruits,Riyadh,Riyadh,24.66385214,46.70385649,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00053,place,Salman Sweets,restaurants,Riyadh,Riyadh,24.6692098,46.712534,0.6599999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00054,place,Al Mamlakah Sweets,restaurants,Riyadh,Riyadh,24.670622,46.730931,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00055,place,Mugo land,specialty_and_ethnic,Riyadh,Riyadh,24.6437536,46.6933715,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00056,place,Wahat Al Aseer,restaurants,Riyadh,Riyadh,24.6170456,46.7227435,0.6,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00057,place,Pizza Hut,restaurants,Riyadh,Riyadh,24.6759146,46.7274594,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00058,place,Tim Horton,restaurants,Riyadh,Riyadh,24.666095,46.697692,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00059,place,Wasfa Pharmacy,pharmacies,Riyadh,Riyadh,24.62024364,46.70183612,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00060,place,Baja,restaurants,Riyadh,Riyadh,24.67701,46.727088,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00061,place,Cinnabon,restaurants,Riyadh,Riyadh,24.630152,46.691963,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00062,place,Golden Konafa,restaurants,Riyadh,Riyadh,24.618341,46.745459,0.9199999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00063,place,Ranosh,restaurants,Riyadh,Riyadh,24.629651,46.691035,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00064,place,Sham sweets,restaurants,Riyadh,Riyadh,24.6129625,46.710251,1.0,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00065,place,Mille Feuille,restaurants,Riyadh,Riyadh,24.679129,46.729099,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00066,place,SETTE,restaurants,Riyadh,Riyadh,24.6793517,46.71910372,0.96,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00067,place,Serrano,restaurants,Riyadh,Riyadh,24.6793712,46.7190769,0.36,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00068,place,Sweets Corner,restaurants,Riyadh,Riyadh,24.679418,46.719377,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00069,place,Asian Taste,restaurants,Riyadh,Riyadh,24.6793506,46.7305577,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00070,place,Meat Hub,Butchery,Riyadh,Riyadh,24.677319,46.7080019,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00071,place,Tanur Alfatirat Aldimashqiya,restaurants,Riyadh,Riyadh,24.6699126,46.7511926,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00072,place,Tolv,restaurants,Riyadh,Riyadh,24.6803565,46.7191064,0.9199999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00073,place,Karam Hommus Restaruant,restaurants,Riyadh,Riyadh,24.654253,46.744504,0.7,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00074,place,Falafel Arafah,restaurants,Riyadh,Riyadh,24.65533,46.744013,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00075,place,Qasr Al Rukn Al Shami,restaurants,Riyadh,Riyadh,24.637439,46.701838,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00076,place,Pizza Corner,restaurants,Riyadh,Riyadh,24.654863,46.744373,0.9199999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00077,place,Anbar Al Sham,restaurants,Riyadh,Riyadh,24.654553,46.744566,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00078,place,Minha Multicuisine,restaurants,Riyadh,Riyadh,24.6663537,46.7251639,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00079,place,Square house cafe -,restaurants,Riyadh,Riyadh,24.65811443,46.70503587,1.0,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00080,place,Mahboob,restaurants,Riyadh,Riyadh,24.665218,46.731444,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00081,place,Pizza&amp; more,restaurants,Riyadh,Riyadh,24.65812257,46.70499147,0.36,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00082,place,Pastatti,restaurants,Riyadh,Riyadh,24.6652969,46.7314819,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00083,place,Minyaki,restaurants,Riyadh,Riyadh,24.6286237,46.7390314,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00084,place,Royal Tandor,restaurants,Riyadh,Riyadh,24.6286237,46.7390314,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00085,place,Cheeso pizza,restaurants,Riyadh,Riyadh,24.66528062,46.73157978,0.64,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00086,place,Zouq Maharaja,restaurants,Riyadh,Riyadh,24.6287914,46.7394307,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
